id,nombre,facebook
SB-REST-AUD-10FEE739,Taquería El Taco Loco,http://www.facebook.com/taqueriatacoloco
SB-REST-AUD-7C8476CD,Taquería Higinio “Los Tacos del Taco” | Tuxtla Gutiérrez,https://www.facebook.com/p/Taquer%C3%ADa-Higinio-Los-Tacos-del-Taco-61589272026762
SB-REST-AUD-3D93354A,Taquería Insurgentes | Tuxtla Gutiérrez,https://www.facebook.com/Taqueriainsurgentestuxtla
SB-REST-AUD-85DE260F,TAQUERÍA LA FLAMITA MIXE,https://www.facebook.com/share/1BkNX9yQiq
SB-REST-AUD-C6549470,Taquería Los Cochinitos | Tuxtla Gutiérrez,https://www.facebook.com/p/Taquer%C3%ADa-Los-tres-Cochinitos-100093556851008
SB-REST-AUD-25064FA8,Taquería Los Ángeles | Tuxtla Gutiérrez,https://www.facebook.com/p/Taquer%C3%ADa-Los-%C3%81ngeles-100066423229030
SB-REST-AUD-A507114F,Taquería Lupita 24 de junio | Tuxtla Gutiérrez,https://www.facebook.com/p/Taquer%C3%ADa-Lupita-24-de-junio-100083317692089
SB-REST-AUD-BDB1B809,Taquería Madrigal 2 | Tuxtla Gutiérrez,https://www.facebook.com/TaqueriaMadrigal2
SB-REST-AUD-FFB65B52,Taquería Mi Gusto Es | Tuxtla Gutiérrez,https://www.facebook.com/taqueriamigustoestuxtla
SB-REST-AUD-6DF38E1D,Taquería Sonic Terán | Tuxtla Gutiérrez,https://www.facebook.com/p/Taquer%C3%ADa-Sonic-Ter%C3%A1n-61554607028693
SB-REST-AUD-B0691C69,Taquería SONIC | Tuxtla Gutiérrez,https://www.facebook.com/p/Taquer%C3%ADa-SONIC-100085226494327
SB-REST-AUD-A1559906,Taquitos Casa Blanca 2 Suc Panteón,https://m.facebook.com/taquitoscasablancapanteon
SB-REST-AUD-595E2ED8,Taquitos de la Comisión (16 Poniente),http://www.facebook.com/TaquitosDeLaComision
SB-REST-AUD-1389D16A,TBN Burgers Marimba | Tuxtla Gutiérrez,https://www.facebook.com/TBNburgersmarimba
SB-REST-AUD-CB49A922,Terrazza Café - Poniente | Tuxtla Gutiérrez,https://www.facebook.com/terrazza.cafe.tuxtla
SB-REST-AUD-D27265F1,"Teté, Amor por la cocina de hogar | Tuxtla Gutiérrez",https://www.facebook.com/tete.amorporlacocina.sancris
SB-REST-AUD-1496AEB3,The Boss Hamburguesas,https://www.facebook.com/share/18ZsvnsC5b
SB-REST-AUD-EF2178AA,Tierra Sana,https://www.facebook.com/tierrasana.tgz
SB-REST-AUD-308F3229,Tito's PIZZA | Tuxtla Gutiérrez,https://www.facebook.com/p/Titos-PIZZA-61558368269966
SB-REST-AUD-F947E741,"Tocho, s Hamburguesas gigantes crucero teran",https://www.facebook.com/p/Tocho-s-Hamburguesas-gigantes-crucero-teran-61566025726211
SB-REST-AUD-2938DB18,"Tortas ""Las del Metro"" Tuxtla",https://www.facebook.com/p/Tortas-Las-del-Metro-Tuxtla-61589494673590
SB-REST-AUD-C0EC4702,Totik Cafetería | Tuxtla Gutiérrez,https://www.facebook.com/p/Totik-Cafeter%C3%ADa-61566828577651
SB-REST-AUD-4AD3353B,Tuxtla Gutiérrez - Casa del árbol Pizza & Wings,https://www.facebook.com/casadelarbolpizzaandwings
SB-REST-AUD-EC2070CA,Tuxtla Gutiérrez - Chipotle Pizzería,https://www.facebook.com/347119719395944
SB-REST-AUD-077F7385,Tuxtla Gutiérrez - La Cevichería,https://www.facebook.com/1565084913761948
SB-REST-AUD-9BFE176C,Tuxtla Gutiérrez - Los Originales Tacos de la Coca,https://www.facebook.com/TaquitosdelaCoca
SB-REST-AUD-B0952EC9,Tuxtla Gutiérrez - Museo del Café de Chiapas,https://www.facebook.com/museodelcafedechiapas/albums/198493442730727
SB-REST-AUD-60832290,Tuxtla Gutiérrez - Tacos de Cabeza,https://www.facebook.com/media/set
SB-REST-AUD-6401DE0A,Tuxtla Gutiérrez - Taqueria SI HAY,https://www.facebook.com/taqueriasihayOficial
SB-REST-AUD-6284559E,Tuxtla Gutiérrez - Taquería El Fuereño,https://www.facebook.com/259772540550634
SB-REST-AUD-E2873841,"Tuxtla Gutiérrez, Chiapas - Menu, prices, restaurant reviews",https://www.facebook.com/102444204734116
SB-REST-AUD-23DFC0DF,Unicornias Botanas y Antojitos,https://www.facebook.com/unicorniasbya
SB-REST-AUD-E528D06E,Via Gourmet | Tuxtla Gutiérrez,https://www.facebook.com/ViaGourmetRestaurante
SB-REST-AUD-05EC0954,Villaloma Restaurante | Tuxtla Gutiérrez,https://www.facebook.com/VillalomaRestaurante
SB-REST-AUD-EA87CCDD,Vivanno Cafetería | Tuxtla Gutiérrez Centro,https://www.facebook.com/vivannocafeteria
SB-REST-AUD-7E0142C7,WASABI by Makiroll,https://www.facebook.com/makirollsushi
SB-REST-AUD-06DA21EA,Western Wings Oriente,https://www.facebook.com/westernwingsmx1
SB-REST-AUD-D11E5F06,Western Wings | Tuxtla Gutiérrez,https://www.facebook.com/westernwingsmx1
